,com_code,com_name,dump_date,High
13,036710,심텍홀딩스,2023-12-11,4090
13,026040,제이에스티나,2023-01-12,4095
11,203650,드림시큐리티,2023-03-10,4100
5,413630,유진스팩8호,2024-03-15,4100
8,298060,에스씨엠생명과학,2023-12-26,4100
16,130740,티피씨글로벌,2023-03-03,4100
24,002140,고려산업,2024-01-18,4100
19,090710,휴림로봇,2024-01-19,4107
12,302550,리메드,2023-12-26,4120
16,278650,HLB바이오스텝,2024-01-29,4130
17,066910,손오공,2021-04-06,4135
12,154030,아시아종묘,2023-06-29,4140
20,036690,코맥스,2023-09-04,4150
18,014200,광림,2022-04-07,4150
16,203450,유니온커뮤니티,2023-12-15,4155
10,100250,진양홀딩스,2022-06-10,4155
7,069460,대호에이엘,2022-02-17,4160
5,286750,나노브릭,2021-11-29,4164
20,239340,줌인터넷,2023-10-13,4165
8,051630,진양화학,2023-06-12,4175
14,093380,풍강,2024-02-02,4175
18,011420,갤럭시아에스엠,2023-02-01,4180
22,310200,애니플러스,2024-03-11,4185
10,101330,모베이스,2023-08-18,4190
8,291650,압타머사이언스,2024-02-06,4190
13,041650,상신브레이크,2024-02-01,4220
9,208340,파멥신,2023-06-19,4225
16,019180,티에이치엔,2024-02-28,4230
21,058850,KTcs,2024-01-19,4230
14,085910,네오티스,2023-12-19,4250
1,162300,신스틸,2024-01-31,4250
8,027410,BGF,2024-02-02,4260
8,009410,태영건설,2023-10-04,4265
15,014440,영보화학,2023-11-24,4270
6,094800,맵스리얼티1,2023-12-19,4275
16,347000,센코,2024-01-30,4275
16,340360,다보링크,2024-02-26,4280
24,067010,이씨에스,2024-01-18,4280
6,396300,세아메카닉스,2024-03-08,4280
19,016740,두올,2024-02-05,4285
1,365550,ESR켄달스퀘어리츠,2024-03-06,4310
9,031310,아이즈비전,2022-05-09,4320
7,332570,와이팜,2024-02-15,4320
21,024850,HLB이노베이션,2024-02-07,4330
16,241820,피씨엘,2023-11-30,4335
16,018680,서울제약,2023-11-27,4350
9,023410,유진기업,2024-03-15,4355
11,33637K,솔루스첨단소재1우,2023-12-11,4360
7,290380,대유,2022-12-08,4370
7,348950,제이알글로벌리츠,2023-12-01,4375
17,096870,엘디티,2023-04-05,4380
8,083790,CG인바이츠,2024-03-18,4385
9,032940,원익,2024-02-05,4385
14,134580,탑코미디어,2023-12-15,4395
26,072130,유엔젤,2024-01-03,4400
8,006570,대림통상,2023-06-08,4405
25,036120,SCI평가정보,2023-07-13,4425
20,054540,삼영엠텍,2023-12-12,4425
12,127710,아시아경제,2022-02-16,4440
1,45226K,한화갤러리아우,2024-01-02,4450
18,127120,디엔에이링크,2023-09-08,4450
1,425290,삼성스팩6호,2023-02-17,4450
