회사명,항목,외인순매,기관순매,개인순매,개반순매,법인순매,외기개반,종가
LG,골크_단장,10,0,10,0,10,3,10
LG,골크_중장,0,0,10,0,10,0,10
LG,우상향_5,10,0,0,10,10,6,10
LG,우상향_20,10,0,0,10,0,6,10
LG,우상향_60,0,0,20,0,20,0,20
LG,합계,70,0,60,40,70,36,100
SK,골크_일단,10,0,0,10,10,6,10
SK,골크_일중,10,10,0,10,10,10,10
SK,골크_일장,10,10,0,10,0,10,10
SK,골크_단중,10,10,0,10,10,10,10
SK,골크_단장,10,10,0,10,0,10,10
SK,골크_중장,10,10,0,10,0,10,10
SK,우상향_5,10,0,0,10,0,6,10
SK,우상향_20,10,10,0,10,0,10,10
SK,우상향_60,20,20,0,20,0,20,20
SK,합계,100,80,0,100,30,93,100
삼성전기,골크_일단,10,10,0,10,10,10,10
삼성전기,골크_일중,0,10,0,10,10,6,10
삼성전기,골크_일장,0,10,0,10,0,6,10
삼성전기,골크_단중,0,10,0,10,10,6,10
삼성전기,골크_단장,0,10,0,10,0,6,10
삼성전기,골크_중장,0,10,0,10,0,6,10
삼성전기,우상향_5,10,10,0,10,10,10,10
삼성전기,우상향_20,0,10,0,10,10,6,10
삼성전기,우상향_60,0,20,0,20,0,13,20
삼성전기,합계,20,100,0,100,50,73,100
유한양행,골크_일단,10,0,10,0,0,3,10
유한양행,골크_일중,0,10,10,0,0,3,10
유한양행,골크_일장,0,10,10,0,0,3,10
유한양행,골크_단중,0,10,10,0,0,3,10
유한양행,골크_단장,0,10,10,0,10,3,10
유한양행,골크_중장,0,10,10,0,10,3,10
유한양행,우상향_5,0,0,10,0,0,0,10
유한양행,우상향_20,0,10,10,0,0,3,10
유한양행,우상향_60,0,20,0,20,20,13,20
유한양행,합계,10,80,80,20,40,36,100
현대글로비스,골크_일단,10,0,0,10,0,6,10
현대글로비스,골크_일중,10,0,0,10,0,6,10
현대글로비스,골크_일장,10,10,0,10,0,10,10
현대글로비스,골크_단중,10,0,0,10,0,6,10
현대글로비스,골크_단장,10,10,0,10,0,10,10
현대글로비스,골크_중장,10,10,0,10,0,10,10
현대글로비스,우상향_5,10,0,0,10,10,6,10
현대글로비스,우상향_20,10,0,0,10,0,6,10
현대글로비스,우상향_60,20,20,0,20,0,20,20
현대글로비스,합계,100,50,0,100,10,83,100
삼성에스디에스,골크_일단,0,0,10,0,10,0,10
삼성에스디에스,골크_일중,0,0,10,0,10,0,10
삼성에스디에스,골크_일장,0,0,10,0,10,0,10
삼성에스디에스,골크_단중,0,0,10,0,10,0,10
삼성에스디에스,골크_단장,10,0,10,0,0,3,10
삼성에스디에스,골크_중장,10,0,10,0,0,3,10
삼성에스디에스,우상향_5,0,0,10,0,10,0,10
삼성에스디에스,우상향_20,10,0,10,0,10,3,10
삼성에스디에스,우상향_60,0,0,20,0,0,0,20
삼성에스디에스,합계,30,0,100,0,60,10,100
포스코인터내셔널,골크_일단,0,10,0,10,0,6,10
포스코인터내셔널,골크_일중,0,10,0,10,0,6,10
포스코인터내셔널,골크_일장,10,10,0,10,0,10,10
포스코인터내셔널,골크_단중,10,10,0,10,0,10,10
포스코인터내셔널,골크_단장,10,10,0,10,0,10,10
포스코인터내셔널,골크_중장,10,0,0,10,0,6,10
포스코인터내셔널,우상향_5,0,10,10,0,0,3,10
포스코인터내셔널,우상향_20,10,10,0,10,0,10,10
포스코인터내셔널,우상향_60,20,0,0,20,0,13,20
포스코인터내셔널,합계,70,70,10,90,0,76,100
한미반도체,골크_일단,10,0,0,10,10,6,10
한미반도체,골크_일중,10,10,0,10,10,10,10
한미반도체,골크_일장,10,10,0,10,10,10,10
한미반도체,골크_단중,10,10,0,10,10,10,10
한미반도체,골크_단장,10,10,0,10,0,10,10
