날짜,공시_제목,공시자
2023-01-05,임원ㆍ주요주주특정증권등소유상황보고서,이종훈
2023-01-05,임원ㆍ주요주주특정증권등소유상황보고서,한상동
2023-01-05,임원ㆍ주요주주특정증권등소유상황보고서,조상혁
2022-12-20,특수관계인과의내부거래,SK텔레콤
2022-12-20,특수관계인과의내부거래,SK텔레콤
2022-12-20,동일인등출자계열회사와의상품ㆍ용역거래,SK텔레콤
2022-12-20,특수관계인과의내부거래,SK텔레콤
2022-12-14,증권발행실적보고서,SK텔레콤
2022-12-14,투자설명서,SK텔레콤
2022-12-13,[발행조건확정]증권신고서(채무증권),SK텔레콤
2022-11-30,대규모기업집단현황공시[분기별공시(개별회사용)],SK텔레콤
2022-11-11,분기보고서 (2022.09),SK텔레콤
2022-11-10,영업(잠정)실적(공정공시),SK텔레콤
2022-11-10,연결재무제표기준영업(잠정)실적(공정공시),SK텔레콤
2022-11-03,기업설명회(IR)개최(안내공시),SK텔레콤
2022-11-02,[기재정정]타법인주식및출자증권취득결정,SK텔레콤
2022-10-28,특수관계인으로부터주식의취득,SK텔레콤
2022-10-28,현금ㆍ현물배당결정,SK텔레콤
2022-09-29,동일인등출자계열회사와의상품ㆍ용역거래,SK텔레콤
2022-09-27,임원ㆍ주요주주특정증권등소유상황보고서,심상수
2022-09-15,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정,SK텔레콤
2022-09-13,임원ㆍ주요주주특정증권등소유상황보고서,염성진
2022-08-30,대규모기업집단현황공시[분기별공시(개별회사용)],SK텔레콤
2022-08-16,[기재정정]회사합병결정(종속회사의주요경영사항),SK텔레콤
2022-08-12,[기재정정]사업보고서 (2021.12),SK텔레콤
2022-08-12,반기보고서 (2022.06),SK텔레콤
2022-08-10,증권발행실적보고서,SK텔레콤
2022-08-10,투자설명서,SK텔레콤
2022-08-09,[발행조건확정]증권신고서(채무증권),SK텔레콤
2022-08-09,연결재무제표기준영업(잠정)실적(공정공시),SK텔레콤
2022-08-09,영업(잠정)실적(공정공시),SK텔레콤
2022-08-03,기업설명회(IR)개최(안내공시),SK텔레콤
2022-07-28,현금ㆍ현물배당결정,SK텔레콤
2022-07-22,타법인주식및출자증권처분결정,SK텔레콤
2022-07-05,주식등의대량보유상황보고서(약식),국민연금공단
2022-06-30,지속가능경영보고서등관련사항(자율공시),SK텔레콤
2022-06-16,동일인등출자계열회사와의상품ㆍ용역거래,SK텔레콤
2022-06-14,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정,SK텔레콤
2022-05-31,기업지배구조보고서공시,SK텔레콤
2022-05-31,대규모기업집단현황공시[연1회공시및1/4분기용(개별회사)],SK텔레콤
2022-05-17,자기주식처분결과보고서,SK텔레콤
2022-05-13,분기보고서 (2022.03),SK텔레콤
2022-05-10,영업(잠정)실적(공정공시),SK텔레콤
2022-05-10,연결재무제표기준영업(잠정)실적(공정공시),SK텔레콤
2022-05-03,임원ㆍ주요주주특정증권등소유상황보고서,윤영민
2022-05-03,임원ㆍ주요주주특정증권등소유상황보고서,안정호
2022-05-03,임원ㆍ주요주주특정증권등소유상황보고서,김준모
2022-05-03,임원ㆍ주요주주특정증권등소유상황보고서,김석동
2022-05-03,임원ㆍ주요주주특정증권등소유상황보고서,김용학
2022-05-03,기업설명회(IR)개최(안내공시),SK텔레콤
2022-05-03,주식등의대량보유상황보고서(약식),국민연금공단
2022-04-29,특수관계인과의내부거래,SK텔레콤
2022-04-29,해외증권거래소등에신고한사업보고서등의국내신고,SK텔레콤
2022-04-28,현금ㆍ현물배당결정,SK텔레콤
2022-04-28,주요사항보고서(자기주식처분결정),SK텔레콤
2022-04-12,증권발행실적보고서,SK텔레콤
2022-04-12,투자설명서,SK텔레콤
2022-04-11,[발행조건확정]증권신고서(채무증권),SK텔레콤
2022-03-28,동일인등출자계열회사와의상품ㆍ용역거래,SK텔레콤
2022-03-25,정기주주총회결과,SK텔레콤
2022-03-25,사외이사의선임ㆍ해임또는중도퇴임에관한신고,SK텔레콤
2022-03-25,주식매수선택권부여에관한신고,SK텔레콤
2022-03-25,주식매수선택권부여에관한신고,SK텔레콤
2022-03-25,최대주주등소유주식변동신고서,SK텔레콤
2022-03-24,특수관계인에대한증여,SK텔레콤
2022-03-15,기타안내사항(안내공시),SK텔레콤
2022-03-14,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정,SK텔레콤
2022-03-10,감사보고서제출,SK텔레콤
