날짜,시가,고가,저가,종가,거래량,등락률,기관합계_거래량_순매수,기타법인_거래량_순매수,개인_거래량_순매수,외국인합계_거래량_순매수,전체_거래량_순매수,기관합계_거래량_매수,기타법인_거래량_매수,개인_거래량_매수,외국인합계_거래량_매수,전체_거래량_매수,기관합계_거래량_매도,기타법인_거래량_매도,개인_거래량_매도,외국인합계_거래량_매도,전체_거래량_매도,기관합계_거래대금_순매수,기타법인_거래대금_순매수,개인_거래대금_순매수,외국인합계_거래대금_순매수,전체_거래대금_순매수,기관합계_거래대금_매수,기타법인_거래대금_매수,개인_거래대금_매수,외국인합계_거래대금_매수,전체_거래대금_매수,기관합계_거래대금_매도,기타법인_거래대금_매도,개인_거래대금_매도,외국인합계_거래대금_매도,전체_거래대금_매도
2023-01-02,4435,4470,4410,4450,46347,0.5649717514124294,-10394,190,17408,-7204,0,7979,190,38083,95,46347,18373,0,20675,7299,46347,-46115950,839615,77176175,-31899840,0,35386995,839615,168837200,420595,205484405,81502945,0,91661025,32320435,205484405
2023-01-03,4450,4455,4410,4450,31566,0.0,7453,181,-8481,847,0,12454,181,15133,3798,31566,5001,0,23614,2951,31566,33020965,802150,-37596050,3772935,0,55275415,802150,67258620,16867810,140203995,22254450,0,104854670,13094875,140203995
2023-01-04,4455,4480,4445,4480,42830,0.6741573033707865,2192,337,2789,-5318,0,8933,405,32734,758,42830,6741,68,29945,6076,42830,9728390,1503515,12503510,-23735415,0,39888535,1807475,146092665,3377245,191165920,30160145,303960,133589155,27112660,191165920
2023-01-05,4490,4510,4490,4505,69129,0.5580357142857143,7017,-1114,1988,-7891,0,28343,329,33866,6591,69129,21326,1443,31878,14482,69129,31509470,-5024230,8972280,-35457520,0,127520765,1481145,152389225,29652230,311043365,96011295,6505375,143416945,65109750,311043365
2023-01-06,4505,4575,4500,4575,83303,1.553829078801332,5550,-5753,-18681,18884,0,29678,1448,29471,22706,83303,24128,7201,48152,3822,83303,25315995,-26090205,-85050875,85825085,0,134962415,6588390,133944175,103097910,378592890,109646420,32678595,218995050,17272825,378592890
2023-01-09,4580,4600,4515,4580,61774,0.1092896174863388,4917,-67,4403,-9253,0,15772,0,43895,2107,61774,10855,67,39492,11360,61774,22309280,-307530,20178650,-42180400,0,71830550,0,200364675,9590050,281785275,49521270,307530,180186025,51770450,281785275
2023-01-10,4590,4595,4540,4560,32308,-0.43668122270742354,12598,0,-8097,-4501,0,20066,0,11225,1017,32308,7468,0,19322,5518,32308,57414125,0,-36893210,-20520915,0,91409930,0,51142700,4634945,147187575,33995805,0,88035910,25155860,147187575
2023-01-11,4565,4580,4510,4530,49569,-0.6578947368421052,-14,-500,4675,-4161,0,13189,0,36367,13,49569,13203,500,31692,4174,49569,-720,-2272695,21151555,-18878140,0,59753170,0,164504165,59350,224316685,59753890,2272695,143352610,18937490,224316685
2023-01-12,4530,4560,4525,4555,26990,0.5518763796909493,2001,-1136,2964,-3829,0,8323,0,17833,834,26990,6322,1136,14869,4663,26990,9081970,-5149710,13467965,-17400225,0,37809665,0,80957505,3788085,122555255,28727695,5149710,67489540,21188310,122555255
2023-01-13,4565,4570,4520,4570,52454,0.3293084522502744,-9732,-1272,6188,4816,0,11316,5221,29990,5927,52454,21048,6493,23802,1111,52454,-44255880,-5685040,28014495,21926425,0,51505020,23753340,136321950,26977665,238557975,95760900,29438380,108307455,5051240,238557975
2023-01-16,4570,4685,4565,4675,160570,2.297592997811816,-10893,132,-44232,54993,0,32287,132,65818,62333,160570,43180,0,110050,7340,160570,-50012180,615260,-205736680,255133600,0,150504530,615260,305394995,289376005,745890790,200516710,0,511131675,34242405,745890790
2023-01-17,4685,4785,4685,4760,141812,1.8181818181818181,2933,120,-20535,17482,0,56068,120,57835,27789,141812,53135,0,78370,10307,141812,14135605,570000,-97311365,82605760,0,266765700,570000,275138550,131699260,674173510,252630095,0,372449915,49093500,674173510
2023-01-18,4775,4790,4715,4725,69565,-0.7352941176470588,4457,20,6569,-11046,0,26438,20,39105,4002,69565,21981,0,32536,15048,69565,21249090,94500,31134950,-52478540,0,125750230,94500,185440070,19011295,330296095,104501140,0,154305120,71489835,330296095
2023-01-19,4730,4765,4730,4750,42477,0.5291005291005291,4849,20,10065,-14934,0,16097,20,26125,235,42477,11248,0,16060,15169,42477,23041360,94750,47813005,-70949115,0,76519470,94750,124088315,1111760,201814295,53478110,0,76275310,72060875,201814295
2023-01-20,4750,4785,4735,4785,50436,0.7368421052631579,6258,170,-2904,-3524,0,17476,170,30818,1972,50436,11218,0,33722,5496,50436,29839985,815150,-13842995,-16812140,0,83435730,815150,147090625,9415285,240756790,53595745,0,160933620,26227425,240756790
2023-01-25,4800,4880,4790,4835,194062,1.044932079414838,6311,57983,-90421,26127,0,16489,70945,74975,31653,194062,10178,12962,165396,5526,194062,30458310,280160025,-437230095,126611760,0,79760605,342967165,362653380,153335235,938716385,49302295,62807140,799883475,26723475,938716385
2023-01-26,4845,4890,4820,4835,245039,0.0,-63821,166678,-47157,-55700,0,11359,166715,58286,8679,245039,75180,37,105443,64379,245039,-308694580,806408285,-228586860,-269126845,0,54992045,806587735,282110660,42176270,1185866710,363686625,179450,510697520,311303115,1185866710
2023-01-27,4845,4845,4815,4830,238851,-0.1034126163391934,-57515,124339,-47013,-19811,0,17314,126981,91799,2757,238851,74829,2642,138812,22568,238851,-277449950,599566710,-226571290,-95545470,0,83498650,612340780,443081160,13309970,1152230560,360948600,12774070,669652450,108855440,1152230560
2023-01-30,4635,4750,4635,4670,196185,-3.3126293995859215,-93222,88181,4560,481,0,19629,88181,69608,18767,196185,112851,0,65048,18286,196185,-436218685,412706685,21415725,2096275,0,92135425,412706685,326123235,87932270,918897615,528354110,0,304707510,85835995,918897615
2023-01-31,4655,4710,4540,4590,129259,-1.7130620985010707,9870,-7809,10218,-12279,0,51220,173,74585,3281,129259,41350,7982,64367,15560,129259,46070075,-36053195,46829215,-56846095,0,236125910,803430,342912505,14978725,594820570,190055835,36856625,296083290,71824820,594820570
2023-02-01,4590,4635,4580,4585,94611,-0.10893246187363835,-17904,0,8856,9048,0,56792,0,26181,11638,94611,74696,0,17325,2590,94611,-82176070,0,40619570,41556500,0,260877305,0,120316075,53474555,434667935,343053375,0,79696505,11918055,434667935
2023-02-02,4600,4645,4580,4625,212551,0.8724100327153763,-124367,1505,101472,21390,0,61449,1505,112054,37543,212551,185816,0,10582,16153,212551,-570065650,6905425,465289040,97871185,0,282167265,6905425,514019915,172259510,975352115,852232915,0,48730875,74388325,975352115
